,Epoch,Loss
0,1.0,4.232368214489663
1,2.0,4.2109681759795095
2,3.0,4.210787363248329
3,4.0,4.215142612587916
4,5.0,4.203643108067447
5,6.0,4.202507487715107
6,7.0,4.205456433230883
7,8.0,4.2050403666822875
8,9.0,4.2009006183441375
9,10.0,4.199118496620492
10,11.0,4.203160550496349
11,12.0,4.198168032789884
12,13.0,4.196954541010399
13,14.0,4.2017761272926855
14,15.0,4.195540774358462
15,16.0,4.2003465351993095
16,17.0,4.211326132081959
17,18.0,4.198578231955228
18,19.0,4.196831146331682
19,20.0,4.196314367529464
20,21.0,4.19152708086249
21,22.0,4.190849996592901
22,23.0,4.189727618269725
23,24.0,4.18906208423719
24,25.0,4.189926753305409
25,26.0,4.188376183379186
26,27.0,4.1926534469813515
27,28.0,4.1914916659054695
28,29.0,4.187724946296378
29,30.0,4.190544504008881
30,31.0,4.1899989010536505
31,32.0,4.184589052853519
32,33.0,4.18395550610268
33,34.0,4.189495542278029
34,35.0,4.188414217674569
35,36.0,4.182523342028056
36,37.0,4.187537596650319
37,38.0,4.181541777636907
38,39.0,4.186444161689445
39,40.0,4.186504298693513
40,41.0,4.192154025378293
41,42.0,4.185713457734617
42,43.0,4.190417119901475
43,44.0,4.180313747223109
44,45.0,4.183240609626248
45,46.0,4.178666224218395
46,47.0,4.178602783647302
47,48.0,4.17771138557016
48,49.0,4.177344696162498
49,50.0,4.176591239563407
50,51.0,4.176102027501146
51,52.0,4.181061979842513
52,53.0,4.176753698963008
53,54.0,4.180300364755604
54,55.0,4.1762213690640175
55,56.0,4.180228682413493
56,57.0,4.174485268658155
57,58.0,4.174157025062875
58,59.0,4.174199380286752
59,60.0,4.19400917177331
60,61.0,4.182760527689163
61,62.0,4.187402468838104
62,63.0,4.173170128913775
63,64.0,4.1727316150926566
64,65.0,4.172547702919947
65,66.0,4.1819241814417385
66,67.0,4.176798240779197
67,68.0,4.175628471047911
68,69.0,4.170895182923095
69,70.0,4.170162338100067
70,71.0,4.175577547452221
71,72.0,4.169525500846236
72,73.0,4.169748453244771
73,74.0,4.169463805956383
74,75.0,4.1692772221891845
75,76.0,4.168479646721932
76,77.0,4.169812006493137
77,78.0,4.172837128377941
78,79.0,4.173584422020063
79,80.0,4.16738265997743
80,81.0,4.167710474092666
81,82.0,4.1720048646404315
82,83.0,4.177756724292284
83,84.0,4.166971613283026
84,85.0,4.166245903054329
85,86.0,4.172341258558508
86,87.0,4.170992452804357
87,88.0,4.180535154799893
88,89.0,4.1670965805445634
89,90.0,4.166830719333806
90,91.0,4.165602558279691
91,92.0,4.174668470474138
92,93.0,4.174983290776814
93,94.0,4.164533087652024
94,95.0,4.169580180351049
95,96.0,4.169869413114574
96,97.0,4.164303580375567
97,98.0,4.16407001345125
98,99.0,4.163789140035028
99,100.0,4.18078029482332
