,Epoch,Loss
0,1.0,0.30477984198560454
1,2.0,0.18454095323200095
2,3.0,0.1753936784520541
3,4.0,0.17056832044091944
4,5.0,0.16752144694328308
5,6.0,0.16602175835877248
6,7.0,0.164486965751403
7,8.0,0.16395701427165776
8,9.0,0.16301882848755955
9,10.0,0.16183795769737191
10,11.0,0.1619240677315895
11,12.0,0.1607876053615792
12,13.0,0.15983923381730303
13,14.0,0.159052859328381
14,15.0,0.1593086207157945
15,16.0,0.15792958203652133
16,17.0,0.15741326450689197
17,18.0,0.15731082530054327
18,19.0,0.15643839226806
19,20.0,0.1560379207032184
20,21.0,0.15564446753426775
21,22.0,0.1551987482872728
22,23.0,0.15538048550282438
23,24.0,0.15490711684504602
24,25.0,0.1545404876544051
25,26.0,0.15370878786460995
26,27.0,0.15376051178533737
27,28.0,0.154067604304993
28,29.0,0.15320515826548617
29,30.0,0.15248555883969347
30,31.0,0.1521525258479053
31,32.0,0.1523983285647549
32,33.0,0.15206146296368886
33,34.0,0.1512399492912913
34,35.0,0.1513140447539826
35,36.0,0.15052676093700815
36,37.0,0.15057767983781148
37,38.0,0.15165066627198703
38,39.0,0.1508908874470077
39,40.0,0.15019879092092384
40,41.0,0.14999419813082643
41,42.0,0.14904994645143207
42,43.0,0.14964550825422757
43,44.0,0.1490007154133222
44,45.0,0.14846341322137885
45,46.0,0.14839530863786396
46,47.0,0.1484974999848294
47,48.0,0.14782732046426159
48,49.0,0.1475832777684682
49,50.0,0.14792774117564503
50,51.0,0.14709698117963255
51,52.0,0.14692592957656678
52,53.0,0.14712293548126743
53,54.0,0.14714788793496889
54,55.0,0.14667446508187137
55,56.0,0.1461294638886027
56,57.0,0.14620172819250252
57,58.0,0.14587247055279065
58,59.0,0.14618676252765198
59,60.0,0.14562258894925248
60,61.0,0.1455004766889631
61,62.0,0.14503529662751172
62,63.0,0.14494820954660848
63,64.0,0.14483922735264856
64,65.0,0.14497539748067725
65,66.0,0.14485556902746632
66,67.0,0.14462098081226218
67,68.0,0.14449460620749488
68,69.0,0.1442920456908337
69,70.0,0.14439332388239365
70,71.0,0.14434731966012146
71,72.0,0.14395708162082385
72,73.0,0.14333637293479215
73,74.0,0.1438423748293968
74,75.0,0.14304657724418052
75,76.0,0.14373361416263122
76,77.0,0.1428224125443256
77,78.0,0.14288737150291875
78,79.0,0.14306721249467705
79,80.0,0.1430462132884215
80,81.0,0.1435900271857438
81,82.0,0.14213686911006496
82,83.0,0.14209775351089973
83,84.0,0.14212067935564746
84,85.0,0.14201945357330858
85,86.0,0.14211713711488738
86,87.0,0.14193916958692956
87,88.0,0.14288416938626602
88,89.0,0.14246580045517176
89,90.0,0.1431383410443182
90,91.0,0.14110999334960767
91,92.0,0.14196318678864062
92,93.0,0.14077340658396892
93,94.0,0.14125625437049016
94,95.0,0.1422180873788383
95,96.0,0.14161829094160094
96,97.0,0.1407681168758706
97,98.0,0.14070547004676845
98,99.0,0.14054850458282314
99,100.0,0.14053368058106672
