,Epoch,Loss
0,1.0,0.19940578723449562
1,2.0,0.1420739583938694
2,3.0,0.12069433964155121
3,4.0,0.10290245006181342
4,5.0,0.08802859320363385
5,6.0,0.07489793168799863
6,7.0,0.06386357209942742
7,8.0,0.05460205851985399
8,9.0,0.046782247662290735
9,10.0,0.03914807661170658
10,11.0,0.033379752433635224
11,12.0,0.028484866266017376
12,13.0,0.02489272204169648
13,14.0,0.021777062992862865
14,15.0,0.01973831725072658
15,16.0,0.018133750935358
16,17.0,0.016066577998984654
17,18.0,0.01445077123676756
18,19.0,0.013292415024860567
19,20.0,0.012231393476696386
20,21.0,0.0113497890911852
21,22.0,0.010771497899652344
22,23.0,0.010327903573319407
23,24.0,0.01005689313658117
24,25.0,0.009619227969237306
25,26.0,0.009158223398013959
26,27.0,0.009099248537022642
27,28.0,0.008830962802542265
28,29.0,0.008789737521149641
29,30.0,0.008675409825223837
30,31.0,0.008556501668495423
31,32.0,0.008203147533285873
32,33.0,0.008191407484086918
33,34.0,0.008066260368272307
34,35.0,0.007920481938325636
35,36.0,0.00793310330295143
36,37.0,0.007927165091845835
37,38.0,0.007951969106573592
38,39.0,0.007909905490142404
39,40.0,0.007870165213928443
40,41.0,0.007726829881702386
41,42.0,0.007676551778033193
42,43.0,0.007586234556882957
43,44.0,0.007503984898994703
44,45.0,0.007487850067965398
45,46.0,0.007581617002945837
46,47.0,0.007568372658312819
47,48.0,0.007551994003479401
48,49.0,0.007455492460224245
49,50.0,0.007438365922567817
50,51.0,0.007427566346429845
51,52.0,0.007468677159926515
52,53.0,0.007381726273199405
53,54.0,0.007315699980935431
54,55.0,0.007303613219881124
55,56.0,0.007192946542873063
56,57.0,0.00721930017797327
57,58.0,0.00724037233327191
58,59.0,0.007202533641619373
59,60.0,0.007169484665164779
60,61.0,0.007190922461678419
61,62.0,0.007158618338360092
62,63.0,0.007130362133968433
63,64.0,0.007115753548493123
64,65.0,0.007125600877007565
65,66.0,0.007147333011713248
66,67.0,0.007107877997835105
67,68.0,0.007091697820259605
68,69.0,0.007075050636389956
69,70.0,0.007047948767473993
70,71.0,0.00706640873604023
71,72.0,0.007018697537064318
72,73.0,0.007059962639229675
73,74.0,0.007066376321525271
74,75.0,0.0070309008173326
75,76.0,0.007004257292951453
76,77.0,0.006991257262183738
77,78.0,0.006990025374118892
78,79.0,0.006952130541789463
79,80.0,0.006946899509337988
80,81.0,0.006955388703814892
81,82.0,0.006972615153855329
82,83.0,0.006992121856222103
83,84.0,0.006998361597157397
84,85.0,0.006941066225525487
85,86.0,0.006968152848476888
86,87.0,0.0069931862042288805
87,88.0,0.006960682674028701
88,89.0,0.006959594039680026
89,90.0,0.0069265619566167185
90,91.0,0.006945487410588773
91,92.0,0.006965806148928405
92,93.0,0.006994150198566194
93,94.0,0.007092658740797103
94,95.0,0.007015780168112473
95,96.0,0.006965172228308541
96,97.0,0.00694513495206794
97,98.0,0.006970921596665695
98,99.0,0.006950444915352366
99,100.0,0.0069437657771876625
